SMILES,bacteria,MIC (µg/mL),MIC (µmol/mL),log MIC,S. aureus,molar_mass
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CCCC)N5CCOCC5,MRSA,512.0,1.3078607026175084,3.1165614906961245,+,391.4790000000003
O=C(O)CC(=O)NC=1C=CC(=CC1)C2=NC=3C=CC=CC3N2,MRSA,6.25,0.02116,1.3255156633631482,+,295.298
O=C(O)CCC(=O)NC=1C=CC(=CC1)C2=NC=3C=CC=CC3N2,MRSA,12.5,0.040409999999999995,1.606488850442648,+,309.32500000000005
O=C(OC)CCCC(=O)NC=1C=CC(=CC1)C2=NC=3C=CC=CC3N2,MRSA,50.0,0.1482,2.170848203643309,+,337.3790000000001
O=C(O)CCCCC(=O)NC=1C=CC(=CC1)C2=NC=3C=CC=CC3N2,MRSA,12.5,0.03705,1.568788212315347,+,337.3790000000001
O=C(O)CC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(F)C=C3N2,MRSA,25.0,0.0798,1.9020028913507296,+,313.288
O=C(O)CCC(=O)NC=1C=CC(=CC1)C2=NC3=CC(F)=CC=C3N2,MRSA,12.5,0.038189999999999995,1.581949658373318,+,327.31500000000005
O=C(O)CCCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(F)C=C3N2,MRSA,3.12,0.00915,0.9614210940664484,+,341.34200000000004
O=C(OC)CCCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(F)C=C3N2,MRSA,11.43,0.032174999999999995,1.5075185555764243,+,355.3690000000001
O=C(O)CCCCC(=O)NC=1C=CC(=CC1)C2=NC3=CC(F)=CC=C3N2,MRSA,21.07,0.0593,1.7730546933642626,+,355.3690000000001
O=C(O)CC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(Cl)C=C3N2,MRSA,24.99,0.07579999999999999,1.8796692056320536,+,329.743
O=C(O)CCC(=O)NC=1C=CC(=CC1)C2=NC3=CC(Cl)=CC=C3N2,MRSA,12.5,0.036359999999999996,1.56062387454993,+,343.77000000000004
O=C(O)CCCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(Cl)C=C3N2,MRSA,24.97,0.0698,1.8438554226231612,+,357.7970000000001
O=C(OC)CCCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(Cl)C=C3N2,MRSA,50.0,0.13447,2.1286254048759505,+,371.8240000000001
O=C(O)CCCCC(=O)NC=1C=CC(=CC1)C2=NC3=CC(Cl)=CC=C3N2,MRSA,12.5,0.03361,1.5264685124694777,+,371.8240000000001
O=C(O)CC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(C=C3N2)N(=O)=O,MRSA,6.24,0.01833,1.2631624649622166,+,340.2950000000001
O=C(O)CCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(C=C3N2)N(=O)=O,MRSA,6.01,0.01696,1.229425847920695,+,354.3220000000001
O=C(O)CCCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(C=C3N2)N(=O)=O,MRSA,16.25,0.04412,1.644635503768153,+,368.3490000000001
O=C(OC)CCCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(C=C3N2)N(=O)=O,MRSA,12.5,0.03269,1.514414920580369,+,382.37600000000015
O=C(O)CCCCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(C=C3N2)N(=O)=O,MRSA,12.47,0.032600000000000004,1.513217600067939,+,382.37600000000015
O=C(O)CC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(OC)C=C3N2,MRSA,25.0,0.07684,1.885587356189656,+,325.32400000000007
O=C(O)CCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(OC)C=C3N2,MRSA,25.0,0.07367,1.867290669854884,+,339.3510000000001
O=C(O)CCCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(OC)C=C3N2,MRSA,12.5,0.03537,1.5486350598147516,+,353.3780000000001
O=C(OC)CCCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(OC)C=C3N2,MRSA,12.5,0.03402,1.5317343092765503,+,367.40500000000014
O=C(O)CCCCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(OC)C=C3N2,MRSA,12.52,0.03408,1.5324995860946624,+,367.40500000000014
O=C(O)CC(=O)NC=1C=CC(=CC1)C2=NC3=NC=CC=C3N2,MRSA,12.5,0.04218,1.6251065754034677,+,296.286
O=C(O)CCC(=O)NC=1C=CC(=CC1)C2=NC3=NC=CC=C3N2,MRSA,3.12,0.01007,1.003029470553618,+,310.31300000000005
O=C(O)CCCC(=O)NC=1C=CC(=CC1)C2=NC3=NC=CC=C3N2,MRSA,12.5,0.03854,1.5859117103194342,+,324.34000000000003
O=C(OC)CCCC(=O)NC=1C=CC(=CC1)C2=NC3=NC=CC=C3N2,MRSA,12.5,0.03694,1.5674968911042226,+,338.3670000000001
O=C(O)CCCCC(=O)NC=1C=CC(=CC1)C2=NC3=NC=CC=C3N2,MRSA,3.12,0.00923,0.965201701025912,+,338.3670000000001
O=C(O)COCC(=O)NC=1C=CC(=CC1)C2=NC=3C=CC=CC3N2,MRSA,15.25,0.046880000000000005,1.670987603010034,+,325.324
O=C(O)CSCC(=O)NC=1C=CC(=CC1)C2=NC=3C=CC=CC3N2,MRSA,12.84,0.0376,1.575187844927661,+,341.39200000000005
O=C(O)COCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(F)C=C3N2,MRSA,3.12,0.009102,0.9591368311703742,+,343.314
O=C(O)CSCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(F)C=C3N2,MRSA,6.22,0.01732,1.2385478876813278,+,359.38200000000006
O=C(O)COCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(Cl)C=C3N2,MRSA,25.0,0.06949,1.8419223116794508,+,359.76900000000006
O=C(O)CSCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(Cl)C=C3N2,MRSA,1.56,0.00415,0.6180480967120927,+,375.83700000000005
O=C(O)COCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(C=C3N2)N(=O)=O,MRSA,17.4,0.046979999999999994,1.6719130124415869,+,370.3210000000001
O=C(O)CSCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(C=C3N2)N(=O)=O,MRSA,6.56,0.016980000000000002,1.2299376859079338,+,386.3890000000001
O=C(O)COCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(OC)C=C3N2,MRSA,6.25,0.01758,1.245018870737753,+,355.3500000000001
O=C(O)CSCC(=O)NC=1C=CC(=CC1)C2=NC3=CC=C(OC)C=C3N2,MRSA,25.0,0.06731000000000001,1.828079590556746,+,371.4180000000001
