SMILES,bacteria,MIC (µg/mL),MIC (µmol/mL),log MIC,S. aureus,molar_mass,mol_MR,logP,num_h_donors,num_h_acceptors,num_rotatable_bonds,tpsa,fraction_csp3,ring_count,aromatic_ring_count,mean_pagerank,mean_degree_centrality,mean_closeness_centrality,mean_betweenness_centrality
CCCCCCN1C2=CC=CC=C2N=C1CN3C=NC4=C3N=CN=C4N5CCOCC5,S. aureus,0.67,0.0016,0.2041199826559248,+,419.5330000000003,121.33200000000004,3.641200000000002,0,8,8,73.89,0.4782608695652174,5,4,0.032258064516129024,0.07526881720430108,0.17349899379643416,0.17330367074527253
O=N(=O)C=1C=CC=CC1C=NC2=NC=3C=CC=CC3N2C,S. aureus,25.0,0.0891942901383224,1.9503370534704112,+,280.28700000000003,81.06440000000003,3.2321000000000017,0,5,3,73.32,0.06666666666666667,3,3,0.047619047619047616,0.10952380952380954,0.22393298183036672,0.1899749373433584
ClC=1C=CC=CC1C=NC2=NC=3C=CC=CC3N2C,S. aureus,25.0,0.0926835597901644,1.967002705820737,+,269.735,79.42000000000004,3.9773000000000023,0,3,2,30.18,0.06666666666666667,3,3,0.05263157894736841,0.12280701754385963,0.23876104355900196,0.195734434124527
O=C1N(C2=NC=3C=CC=CC3N2C)C(C4=CC=C(Cl)C=C4)C1Cl,S. aureus,25.0,0.0722090480825609,1.858591619815133,+,346.217,92.03400000000002,3.9220000000000024,0,3,2,38.13,0.17647058823529413,4,3,0.04347826086956521,0.10276679841897234,0.23197793702052474,0.16581968755881799
O=C1N(C2=NC=3C=CC=CC3N2C)C(C4=CC=C(C=C4)N(=O)=O)C1Cl,S. aureus,25.0,0.070073352785696,1.8455528975919269,+,356.769,93.67840000000004,3.176800000000002,0,5,3,81.27000000000001,0.17647058823529413,4,3,0.03999999999999998,0.09333333333333334,0.21214101227813875,0.17014492753623187
O=C1N(C2=NC=3C=CC=CC3N2C)C(C=4C=CC=CC4Cl)C1Cl,S. aureus,25.0,0.0722090480825609,1.858591619815133,+,346.217,92.03400000000003,3.9220000000000024,0,3,2,38.13,0.17647058823529413,4,3,0.0434782608695652,0.10276679841897234,0.23798783550902308,0.15979672501411632
ClC1=CC=C(C=NC2=NC=3C=CC=CC3N2C)C=C1,S. aureus,50.0,0.1853671195803288,2.268032701484718,+,269.735,79.42000000000003,3.9773000000000023,0,3,2,30.18,0.06666666666666667,3,3,0.05263157894736841,0.12280701754385963,0.23188764874282744,0.2039903680770554
O=N(=O)C1=CC=C(C=NC2=NC=3C=CC=CC3N2C)C=C1,S. aureus,50.0,0.178388580276645,2.2513670491343927,+,280.287,81.06440000000003,3.232100000000001,0,5,3,73.32,0.06666666666666667,3,3,0.047619047619047616,0.10952380952380954,0.20931857271758364,0.20802005012531327
O=N(=O)C=1C=CC=C(C=NC2=NC=3C=CC=CC3N2C)C1,S. aureus,75.0,0.2675828704149675,2.427458308190074,+,280.287,81.06440000000003,3.2321000000000017,0,5,3,73.32,0.06666666666666667,3,3,0.047619047619047616,0.10952380952380954,0.21612335526105195,0.19899749373433584
N(=CC1=CC=C(C=C1)N(C)C)C2=NC=3C=CC=CC3N2C,S. aureus,50.0,0.179624154419293,2.2543647367058206,+,278.35900000000004,88.73700000000005,3.3899000000000017,0,4,3,33.42,0.17647058823529413,3,3,0.047619047619047616,0.10952380952380954,0.20931857271758364,0.20802005012531327
N(=CC1=CC(OC)=CC=C1OC)C2=NC=3C=CC=CC3N2C,S. aureus,75.0,0.2539428865518618,2.4047360518779755,+,295.34200000000004,87.51400000000005,3.3411000000000017,0,5,4,48.64,0.17647058823529413,3,3,0.045454545454545456,0.10389610389610389,0.21567754822662896,0.18982683982683984
O=C1N(C2=NC=3C=CC=CC3N2C)C(C=4C=CC=CC4N(=O)=O)C1Cl,S. aureus,50.0,0.140146705571392,2.146582893255908,+,356.7690000000001,93.67840000000004,3.176800000000002,0,5,3,81.27000000000001,0.17647058823529413,4,3,0.03999999999999998,0.09333333333333334,0.22566286013866965,0.156231884057971
O=C1N(C2=NC=3C=CC=CC3N2C)C(C=4C=CC=C(C4)N(=O)=O)C1Cl,S. aureus,50.0,0.1401467055713921,2.146582893255908,+,356.769,93.67840000000004,3.176800000000002,0,5,3,81.27000000000001,0.17647058823529413,4,3,0.03999999999999998,0.09333333333333334,0.21845542765914377,0.16318840579710145
O=C1N(C2=NC=3C=CC=CC3N2C)C(C4=CC=C(C=C4)N(C)C)C1Cl,S. aureus,50.0,0.140908181410829,2.148936209847639,+,354.841,101.35100000000004,3.334600000000002,0,4,3,41.370000000000005,0.2631578947368421,4,3,0.03999999999999998,0.09333333333333334,0.21214101227813875,0.17014492753623187
O=C1N(C2=NC=3C=CC=CC3N2C)C(C4=CC(OC)=CC=C4OC)C1Cl,S. aureus,50.0,0.1344722234175308,2.128632585733998,+,371.82400000000007,100.12800000000004,3.285800000000002,0,5,4,56.59,0.2631578947368421,4,3,0.03846153846153845,0.08923076923076922,0.2183259363503771,0.15653846153846154
O=C1C=2C=3N(C=C1C4=NC=5C(N4C)=CC=CC5)[C@@H](C)COC3C(F)=C(F)C2,S. aureus,1.25,0.0034027031073484,0.5318240576867008,+,367.3550000000001,98.03800000000005,3.786800000000002,0,5,1,49.05,0.2,5,4,0.03703703703703703,0.08831908831908832,0.2235908482662664,0.14507122507122508
FC=1C(F)=C(F)C(C2=NC=3C=CC=CC3N2C)=C(C1F)C4=NC=5C=CC=CC5N4C,S. aureus,1.25,0.003046001939694,0.4837301755588378,+,410.37400000000014,105.69000000000001,5.350400000000004,0,4,2,35.64,0.09090909090909091,5,5,0.033333333333333326,0.07816091954022988,0.21281950837009347,0.13842364532019708
